x,y,z,risk
-2.692944,-2.805591,1.2394134,0.2666666666666666
1.4411641,-0.38961744,-1.6145358,0.3916666666666666
1.0588691,-0.37804332,4.525462,0.9916666666666668
-4.735463,-2.8193374,2.1243336,0.5
-4.4673347,6.616494,-1.5261866,0.9333333333333332
-2.7734683,0.13939202,-2.800283,0.9583333333333334
1.3734481,-0.38649815,-5.0601897,0.925
-2.9727032,-0.7539911,1.5237753,0.925
3.0627809,3.048242,4.803067,0.225
2.6120396,2.3899515,3.5025222,0.7583333333333333
-0.671463,-2.3890247,-3.154722,0.525
2.0880585,-4.8053336,-3.4530315,0.1166666666666666
-3.3818157,1.8654652,-0.6743336,0.0
-4.932675,4.159064,1.5543668,0.4083333333333333
2.2355912,-4.4180427,3.7721143,0.5083333333333333
1.9798847,-1.4901562,-2.2180333,0.7
-1.1945033,-1.7093756,-2.7451391,0.3583333333333333
3.1149707,3.304852,2.3663661,0.9666666666666668
0.2845287,-3.4190862,1.4793916,1.0
5.7012644,1.8675792,-0.114878416,0.975
-1.4097542,-2.531295,3.4448943,0.9583333333333334
0.3800543,1.1115402,-3.421515,0.4583333333333333
3.8994727,3.7928095,-3.5528677,0.8583333333333333
