epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,13.00805950164795,0.0661383718252182,43.13973617553711,0.2571738064289093,0.2247285097837448
1,9.768512725830078,0.05622453615069389,32.374290466308594,0.23711714148521423,0.1888751983642578
2,7.244391918182373,0.050892602652311325,23.978328704833984,0.22559389472007751,0.16284598410129547
3,5.534017086029053,0.04859555885195732,18.284738540649414,0.22044400870800018,0.1452559381723404
4,4.209326267242432,0.047794461250305176,13.871771812438965,0.2186194509267807,0.13436827063560486
5,3.1661336421966553,0.04748925939202309,10.39548110961914,0.21792030334472656,0.1274920403957367
6,2.5103394985198975,0.04773057624697685,8.208695411682129,0.21847328543663025,0.12364957481622696
7,1.9878876209259033,0.04793635755777359,6.466504096984863,0.2189437299966812,0.12106908857822418
8,1.601579189300537,0.04806634783744812,5.178375720977783,0.21924038231372833,0.11979436874389648
9,1.3151203393936157,0.0481722429394722,4.223160266876221,0.21948176622390747,0.11917906254529953
10,1.1006264686584473,0.04807732626795769,3.5084967613220215,0.2192654311656952,0.11926565319299698
11,0.9413283467292786,0.048136722296476364,2.9773054122924805,0.2194008231163025,0.11981254070997238
12,0.8243035674095154,0.048018574714660645,2.587616443634033,0.21913141012191772,0.12066000699996948
13,0.741694450378418,0.04784917086362839,2.3128175735473633,0.21874453127384186,0.12185526639223099
