epoch,loss,train_rmse,val_rmse
0,0.13279354572296143,0.3644084930419922,0.05038681626319885
1,0.11276926100254059,0.3358113467693329,0.12926490604877472
2,0.11552026122808456,0.3398827314376831,0.20766431093215942
3,0.11964101344347,0.3458916246891022,0.23560228943824768
4,0.1169528216123581,0.3419836461544037,0.22872953116893768
