epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,618.313720703125,0.10349365323781967,2060.70068359375,0.32170429825782776,0.32258012890815735
1,545.0499267578125,0.06250104308128357,1816.6246337890625,0.25000208616256714,0.23639363050460815
2,478.6363525390625,0.049315933138132095,1595.2900390625,0.22207191586494446,0.17962880432605743
3,419.39404296875,0.04573863372206688,1397.82763671875,0.21386592090129852,0.14883072674274445
4,366.25946044921875,0.04566977918148041,1220.7125244140625,0.2137048840522766,0.1356390416622162
5,317.6509094238281,0.0449044443666935,1058.6866455078125,0.21190668642520905,0.1286972165107727
6,276.0274963378906,0.04399694874882698,919.9448852539062,0.20975449681282043,0.12731918692588806
7,238.84783935546875,0.042001623660326004,796.0194091796875,0.2049429714679718,0.12616100907325745
8,206.0611114501953,0.039521314203739166,686.7385864257812,0.19879968464374542,0.12763671576976776
9,177.26559448242188,0.037626538425683975,590.7598876953125,0.19397561252117157,0.1330421417951584
10,152.1142120361328,0.036047227680683136,506.9272155761719,0.18986107409000397,0.13670021295547485
11,130.38499450683594,0.03554759547114372,434.4981384277344,0.18854069709777832,0.14293082058429718
