epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,1923.17822265625,0.09756474196910858,6410.2685546875,0.31235355138778687,0.32782334089279175
1,1729.56298828125,0.03393155336380005,5765.0966796875,0.18420518934726715,0.20061002671718597
2,1551.7786865234375,0.03129677474498749,5172.4912109375,0.176908940076828,0.150514155626297
3,1387.1583251953125,0.03482583165168762,4623.7451171875,0.18661680817604065,0.13659507036209106
4,1237.0797119140625,0.03726826608181,4123.474609375,0.19304990768432617,0.1344188004732132
5,1100.2911376953125,0.03848397731781006,3667.5087890625,0.19617334008216858,0.1339491605758667
6,976.00537109375,0.03898780420422554,3253.22119140625,0.19745329022407532,0.1337183117866516
7,863.9849243164062,0.03893497586250305,2879.81982421875,0.19731947779655457,0.1336866021156311
8,763.1353759765625,0.038473941385746,2543.65625,0.19614775478839874,0.13275930285453796
9,671.9171142578125,0.03748472407460213,2239.5986328125,0.19360971450805664,0.1320888251066208
10,590.4976196289062,0.03596493601799011,1968.2054443359375,0.1896442323923111,0.13122835755348206
11,518.4138793945312,0.03382854163646698,1727.9334716796875,0.18392537534236908,0.12916003167629242
12,454.55224609375,0.031207099556922913,1515.070068359375,0.17665530741214752,0.12657833099365234
13,398.853515625,0.028236113488674164,1329.4176025390625,0.16803604364395142,0.12568211555480957
14,349.3183898925781,0.025406405329704285,1164.309814453125,0.15939386188983917,0.1246635690331459
15,306.28350830078125,0.022948890924453735,1020.8684692382812,0.15148891508579254,0.12611384689807892
16,268.5282897949219,0.02108815498650074,895.02392578125,0.14521761238574982,0.13003584742546082
17,235.51808166503906,0.019966475665569305,784.99365234375,0.14130277931690216,0.13158316910266876
18,206.790283203125,0.019745882600545883,689.235107421875,0.14052003622055054,0.13606959581375122
