epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,3705.619140625,0.08785170316696167,12351.7705078125,0.2963978946208954,0.059723515063524246
1,3328.394287109375,0.08044498413801193,11094.37890625,0.2836282551288605,0.19390591979026794
2,2980.1298828125,0.05027534440159798,9933.5986328125,0.22422164678573608,0.062469180673360825
3,2660.49560546875,0.04966701194643974,8868.1533203125,0.22286097705364227,0.08460354804992676
4,2367.931396484375,0.04642772674560547,7892.94970703125,0.21547093987464905,0.08792456984519958
