epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,23.39319610595703,0.11262162774801254,77.60191345214844,0.33559146523475647,0.3707321882247925
1,19.550416946411133,0.08711005747318268,64.877685546875,0.29514414072036743,0.326738178730011
2,16.269954681396484,0.06915643811225891,54.00265884399414,0.26297610998153687,0.29146239161491394
3,13.402209281921387,0.05699734762310982,44.484039306640625,0.2387411743402481,0.26378312706947327
4,11.111729621887207,0.04839511588215828,36.87778091430664,0.2199888974428177,0.24141602218151093
5,9.149807929992676,0.04228782653808594,30.358400344848633,0.20564004778862,0.2236415594816208
6,7.563711166381836,0.03792687505483627,25.085947036743164,0.19474823772907257,0.20971611142158508
7,6.294747352600098,0.03498770296573639,20.865863800048828,0.187049999833107,0.19911155104637146
8,5.225080966949463,0.032757800072431564,17.307743072509766,0.18099115788936615,0.19038482010364532
9,4.340244293212891,0.03086843527853489,14.364584922790527,0.17569415271282196,0.18269552290439606
10,3.6161820888519287,0.02933206781744957,11.95616626739502,0.1712660789489746,0.17586050927639008
11,3.0172948837280273,0.028088310733437538,9.964021682739258,0.16759566962718964,0.16934801638126373
12,2.5333168506622314,0.027037957683205605,8.354263305664062,0.16443222761154175,0.1640574038028717
13,2.14042067527771,0.02621227502822876,7.047360897064209,0.16190205514431,0.15905742347240448
14,1.8018568754196167,0.025549085810780525,5.92102575302124,0.15984080731868744,0.1548672765493393
15,1.534977912902832,0.025029949843883514,5.0331597328186035,0.15820856392383575,0.15110503137111664
16,1.32430899143219,0.024583760648965836,4.332417011260986,0.15679208934307098,0.1477230340242386
17,1.154600977897644,0.024167649447917938,3.768110752105713,0.1554594784975052,0.1446199119091034
18,1.0212703943252563,0.023897795006632805,3.324575185775757,0.15458911657333374,0.14142881333827972
19,0.9117113947868347,0.023607246577739716,2.9603469371795654,0.15364649891853333,0.1389140486717224
