epoch,total_loss,task_loss,d_constraint,train_rmse,val_rmse
0,270.4384460449219,0.08332700282335281,901.1837768554688,0.28866416215896606,0.27837058901786804
1,237.94232177734375,0.06302376091480255,792.9309692382812,0.2510453462600708,0.2774091362953186
2,210.44168090820312,0.060709089040756226,701.2698364257812,0.2463921457529068,0.2973479628562927
3,184.89230346679688,0.062451355159282684,616.0994873046875,0.24990269541740417,0.3104197084903717
4,161.97915649414062,0.06106172129511833,539.7269287109375,0.24710670113563538,0.3097876310348511
5,142.08644104003906,0.058081161230802536,473.4278869628906,0.24100033938884735,0.2980647683143616
