epoch,total_loss,task_loss,g_constraint,train_rmse,val_rmse
0,13.008218765258789,0.06613869220018387,43.14026641845703,0.25717443227767944,0.22472888231277466
1,9.768461227416992,0.056223154067993164,32.37412643432617,0.23711422085762024,0.188869446516037
2,7.243849277496338,0.05088977515697479,23.976530075073242,0.2255876213312149,0.16282011568546295
3,5.533055782318115,0.04860364645719528,18.28150749206543,0.2204623520374298,0.14523370563983917
4,4.206783771514893,0.0477912537753582,13.863306999206543,0.21861210465431213,0.1343180388212204
5,3.165935516357422,0.047491058707237244,10.394814491271973,0.21792443096637726,0.12751711905002594
6,2.5102407932281494,0.04772927239537239,8.20837116241455,0.21847030520439148,0.12364643067121506
7,1.9871004819869995,0.047950830310583115,6.463831901550293,0.21897678077220917,0.12104549258947372
8,1.5995266437530518,0.04805193096399307,5.171582221984863,0.2192075103521347,0.11970741301774979
9,1.313538908958435,0.04816281050443649,4.217920303344727,0.21946026384830475,0.11919662356376648
10,1.1003905534744263,0.048090435564517975,3.507666826248169,0.21929532289505005,0.11923624575138092
11,0.9434952735900879,0.04815739393234253,2.984459400177002,0.21944792568683624,0.11984965950250626
12,0.8272430300712585,0.048033926635980606,2.5973634719848633,0.21916644275188446,0.12073566019535065
13,0.7446940541267395,0.047884583473205566,2.3226981163024902,0.21882545948028564,0.12193954735994339
