epoch,loss,train_rmse,val_rmse
0,0.1004692018032074,0.31696876883506775,0.3512982130050659
1,0.05756732448935509,0.23993191123008728,0.2650987207889557
2,0.03473041206598282,0.18636097013950348,0.19837042689323425
3,0.025818780064582825,0.16068223118782043,0.1522996723651886
4,0.024250181391835213,0.15572470426559448,0.13008347153663635
5,0.025184227153658867,0.15869538486003876,0.12133359163999557
6,0.027044907212257385,0.16445335745811462,0.11909018456935883
7,0.02860904671251774,0.16914209723472595,0.11986920237541199
8,0.03010942041873932,0.17352066934108734,0.11984599381685257
9,0.03109823726117611,0.17634692788124084,0.1218709796667099
10,0.03177240863442421,0.17824816703796387,0.12348532676696777
