pdb_id
12AK
10MV
14AA
11YC
11TE
11QE
13YM
13YF
13YG
13YH
13YI
13YJ
13YK
13YN
13YD
13YO
13YP
13YQ
13YR
13YS
13YT
13YU
13YV
13YW
13YE
13YA
13YC
13YB
13XK
13XL
13XM
13XN
13XO
13XP
13XQ
13XR
13XS
13XT
13XU
13XV
13XW
13XX
13XY
13XZ
13YY
13YX
13YL
13YZ
13ZN
13ZZ
